category;title;fnacUrl;descSub;price;imgLink;review;reviewNumber
"Informatique, Tablettes";"PC Ultra-Portable HP Elite Dragonfly 9VZ73EA 13,3" Ecran tactile Intel Core i7 8 Go RAM 512 Go SSD Bleu libellule";"https://www.fnac.com/PC-Ultra-Portable-HP-Elite-Dragonfly-9VZ73EA-13-3-Ecran-tactile-Intel-Core-i7-8-Go-RAM-512-Go-SSD-Bleu-libellule/a14959586/w-4";"PC Portable - HP fnac+ 5 ( 2 )";1164.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/a9/f7/e8/15267753/1545-1/tsp20210531134041/PC-Ultra-Portable-HP-Elite-Dragonfly-9VZ73EA-13-3-Ecran-tactile-Intel-Core-i7-8-Go-RAM-512-Go-D-Bleu-libellule.jpg";"5";2
"Informatique, Tablettes";"PC Hybride Microsoft Surface Pro X 13" Microsoft® SQ2™ 16 Go RAM 512 Go SSD 4G+ Platine";"https://www.fnac.com/PC-Hybride-Microsoft-Surface-Pro-X-13-Microsoft-SQ2-16-Go-RAM-512-Go-SSD-4G-Platine/a15115562/w-4";"PC Portable - Microsoft fnac+ 5 ( 2 )";1639.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/ac/1f/ee/15605676/1545-1/tsp20210531134602/PC-Hybride-Microsoft-Surface-Pro-X-13-Microsoft-SQ2-16-Go-RAM-512-Go-D-4G-Platine.jpg";"5";2
"Informatique, Tablettes";"PC Portable Dell Inspiron 13 7306 2 en 1 13.3" Ecran tactile Intel Core i7 16 Go RAM 512 Go SSD Argent platine";"https://www.fnac.com/PC-Portable-Dell-Inspiron-13-7306-2-en-1-13-3-Ecran-tactile-Intel-Core-i7-16-Go-RAM-512-Go-SSD-Argent-platine/a15510602/w-4";"PC Portable - Dell fnac+ 5 ( 1 )";1109.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/68/31/f2/15872360/1545-1/tsp20210603152806/PC-Portable-Dell-Inspiron-13-7306-2-en-1-13-3-Ecran-tactile-Intel-Core-i7-16-Go-RAM-512-Go-D-Argent-platine.jpg";"5";1
"Informatique, Tablettes";"PC Hybride Microsoft Surface Pro X 13" Microsoft® SQ2™ 16 Go RAM 256 Go SSD 4G+ Noir";"https://www.fnac.com/PC-Hybride-Microsoft-Surface-Pro-X-13-Microsoft-SQ2-16-Go-RAM-256-Go-SSD-4G-Noir/a15115566/w-4";"PC Portable - Microsoft fnac+ 5 ( 4 )";1335.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/b0/1f/ee/15605680/1545-1/tsp20210531134602/PC-Hybride-Microsoft-Surface-Pro-X-13-Microsoft-SQ2-16-Go-RAM-256-Go-D-4G-Noir.jpg";"5";4
"Informatique, Tablettes";"PC Ultra-portable Lenovo Yoga S730-13IML 13.3" Intel Core i5 8 Go RAM 1 To SSD Gris";"https://www.fnac.com/PC-Ultra-portable-Lenovo-Yoga-S730-13IML-13-3-Intel-Core-i5-8-Go-RAM-1-To-SSD-Gris/a13815402/w-4";"PC Portable - Lenovo fnac+ 5 ( 2 )";;"https://static.fnac-static.com/multimedia/Images/FR/MDM/ef/66/c2/12740335/1545-1/tsp20210531132443/PC-Ultra-portable-Lenovo-Yoga-S730-13IML-13-3-Intel-Core-i5-8-Go-RAM-1-To-D-Gris.jpg";"5";2
"Informatique, Tablettes";"PC Ultra-Portable Lenovo Yoga Slim7 14ITL05 14" Ecran tactile Intel Core i7 16 Go RAM 1 To SSD Gris";"https://www.fnac.com/PC-Ultra-Portable-Lenovo-Yoga-Slim7-14ITL05-14-Ecran-tactile-Intel-Core-i7-16-Go-RAM-1-To-SSD-Gris/a15003380/w-4";"PC Portable - Lenovo fnac+ 4.5 ( 8 )";;"https://static.fnac-static.com/multimedia/Images/FR/MDM/0a/d7/e9/15324938/1545-1/tsp20210531134041/PC-Ultra-Portable-Lenovo-Yoga-Slim7-14ITL05-14-Ecran-tactile-Intel-Core-i7-16-Go-RAM-1-To-D-Gris.jpg";"4.5";8
"Informatique, Tablettes";"Pack PC Hybride Microsoft Surface Pro 7 12.3" Intel Core i5 8 Go RAM 256 Go SSD Platine + Clavier Microsoft Type Cover pour Surface Pro Noir + Souris Microsoft Surface Mobile Platine + Stylet Microsoft Surface Pen Platine";"https://www.fnac.com/Pack-PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i5-8-Go-RAM-256-Go-SSD-Platine-Clavier-Microsoft-Type-Cover-pour-Surface-Pro-Noir-Souris-Microsoft-Surface-Mobile-Platine-Stylet-Microsoft-Surface-Pen-Platine/a14855206/w-4";"PC Portable - Microsoft fnac+ 4.5 ( 163 )";1299.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/53/75/e7/15168851/1545-1/tsp20210531133526/Pack-PC-Hybride-Microsoft-Surface-Pro-7-12-3-Intel-Core-i5-8-Go-RAM-256-Go-D-Platine-Clavier-Microsoft-Type-Cover-pour-Surface-Pro-Noir-Souris-Microsoft-Surface-Mobile-Platine-Stylet-Microsoft-Surface-Pen-Platine.jpg";"4.5";163
"Informatique, Tablettes";"PC Ultra-Portable Asus UX425JA-HM320T 14" Intel Core i5 8 Go RAM 256 Go SSD Gris";"https://www.fnac.com/PC-Ultra-Portable-Asus-UX425JA-HM320T-14-Intel-Core-i5-8-Go-RAM-256-Go-SSD-Gris/a15578083/w-4";"PC Portable - Asus fnac+ 4 ( 15 )";799.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/2f/4b/f6/16141103/1545-1/tsp20210531135554/PC-Ultra-Portable-Asus-UX425JA-HM320T-14-Intel-Core-i5-8-Go-RAM-256-Go-D-Gris.jpg";"4";15
"Informatique, Tablettes";"Pack PC Ultra Portable HP 14s-dq2027nf 14" Intel Core i3 8 Go RAM 256 Go SSD Gris + Housse HP 14" Gris + Souris sans fil HP + Microsoft Office 365";"https://www.fnac.com/Pack-PC-Ultra-Portable-HP-14s-dq2027nf-14-Intel-Core-i3-8-Go-RAM-256-Go-SSD-Gris-Housse-HP-14-Gris-Souris-sans-fil-HP-Microsoft-Office-365/a15606544/w-4";"PC Portable - HP fnac+ 4.5 ( 7 )";499.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/6e/d2/f6/16175726/1545-1/tsp20210603145513/Pack-PC-Ultra-Portable-HP-14s-dq2027nf-14-Intel-Core-i3-8-Go-RAM-256-Go-D-Gris-Houe-HP-14-Gris-Souris-sans-fil-HP-Microsoft-Office-365.jpg";"4.5";7
"Informatique, Tablettes";"PC Ultra-Portable Lenovo Yoga SLim7 14ARE05 14" AMD Ryzen 5 4500U 8 Go RAM 256 Go SSD Gris Exclusivité";"https://www.fnac.com/PC-Ultra-Portable-Lenovo-Yoga-SLim7-14ARE05-14-AMD-Ryzen-5-4500U-8-Go-RAM-256-Go-SSD-Gris-Exclusivite/a14625378/w-4";"PC Portable - Lenovo fnac+ 4.5 ( 109 ) 5 Labo Fnac";679.99;"https://static.fnac-static.com/multimedia/Images/FR/MDM/43/8a/e2/14846531/1545-1/tsp20210531133010/PC-Ultra-Portable-Lenovo-Yoga-SLim7-14ARE05-14-AMD-Ryzen-5-4500U-8-Go-RAM-256-Go-D-Gris-Exclusivite.jpg";"4.5";109
